,Timestamp,Open,High,Low,Close,Volume,Timestamp2,HMA,TEMA,TilsonT3,SecondTilsonT3,col,col2
135,1704789900,21656.6,21661.9,21608.85,21609.2,0,2024-01-09 14:15:00+05:30,21664.475515151516,21653.227129671825,21699.053330029463,21670.079238859515,red,red
136,1704790200,21608.2,21616.6,21582.6,21604.3,0,2024-01-09 14:20:00+05:30,21648.193060606063,21636.616858401892,21697.92201660605,21671.299248140815,red,red
137,1704790500,21604.8,21604.85,21555.75,21559.3,0,2024-01-09 14:25:00+05:30,21626.64567099567,21611.638910613692,21696.1423090744,21672.34161626279,red,red
138,1704790800,21561.4,21606.75,21559.7,21591.7,0,2024-01-09 14:30:00+05:30,21606.965428571428,21599.983173294582,21693.752388742338,21673.194607698744,red,red
139,1704791100,21592.8,21599.0,21570.45,21588.1,0,2024-01-09 14:35:00+05:30,21590.622402597404,21589.972607147964,21690.80607060258,21673.850016600318,red,red
140,1704791400,21588.9,21591.7,21545.95,21555.2,0,2024-01-09 14:40:00+05:30,21574.54381385282,21573.742792737172,21687.282868932612,21674.291036331873,red,red
141,1704791700,21556.5,21580.9,21555.6,21564.6,0,2024-01-09 14:45:00+05:30,21561.304887445887,21563.43720573327,21683.237570748053,21674.511123745924,red,red
142,1704792000,21566.1,21585.0,21554.9,21579.2,0,2024-01-09 14:50:00+05:30,21552.151571428574,21559.37117133393,21678.785911020317,21674.51415642747,red,red
143,1704792300,21578.7,21585.7,21570.15,21576.4,0,2024-01-09 14:55:00+05:30,21547.0025974026,21555.906163396336,21674.02793980868,21674.305437516865,red,red
144,1704792600,21576.0,21580.95,21553.0,21563.6,0,2024-01-09 15:00:00+05:30,21544.396904761903,21550.327272839935,21669.02092794668,21673.887443577307,red,red
145,1704792900,21563.8,21570.1,21550.1,21559.4,0,2024-01-09 15:05:00+05:30,21543.390463203465,21545.240778256546,21663.81695044421,21673.26385493781,red,red
146,1704793200,21560.9,21562.2,21533.1,21542.1,0,2024-01-09 15:10:00+05:30,21541.508922077923,21537.15607942681,21658.425473208423,21672.43414230273,red,red
147,1704793500,21543.2,21545.55,21529.55,21530.0,0,2024-01-09 15:15:00+05:30,21538.080913419915,21527.968957247853,21652.84367086362,21671.396576002055,red,red
148,1704793800,21532.1,21546.25,21517.85,21545.2,0,2024-01-09 15:20:00+05:30,21535.302917748922,21524.97359485984,21647.13883323226,21670.159401837453,red,red
149,1704794100,21545.4,21558.1,21544.45,21551.9,0,2024-01-09 15:25:00+05:30,21534.21491774892,21524.840579644995,21641.395372354065,21668.735390930862,red,red
150,1704858300,21529.3,21564.5,21517.85,21553.4,0,2024-01-10 09:15:00+05:30,21535.054554112558,21525.676304978075,21635.689389354848,21667.138734235406,red,red
151,1704858600,21554.1,21556.25,21528.95,21530.9,0,2024-01-10 09:20:00+05:30,21534.534012987016,21521.04557418327,21630.019607108643,21665.37508995145,red,red
152,1704858900,21531.7,21538.15,21477.8,21478.2,0,2024-01-10 09:25:00+05:30,21527.05728571429,21504.08646257571,21624.25023155643,21663.431330330677,red,red
153,1704859200,21476.7,21529.35,21448.65,21529.3,0,2024-01-10 09:30:00+05:30,21520.830164502167,21503.985713417576,21618.46140264674,21661.320791863676,red,red
154,1704859500,21529.4,21539.85,21499.75,21524.3,0,2024-01-10 09:35:00+05:30,21516.02761904762,21503.14694451368,21612.70721869463,21659.055503575684,red,red
155,1704859800,21523.9,21559.15,21521.35,21558.6,0,2024-01-10 09:40:00+05:30,21517.06635064935,21511.866937781157,21607.133398767583,21656.66190979183,red,red
156,1704860100,21559.2,21564.8,21521.7,21549.1,0,2024-01-10 09:45:00+05:30,21521.58976190476,21516.998408839365,21601.811471752048,21654.160214161126,red,red
157,1704860400,21548.2,21556.0,21541.75,21549.6,0,2024-01-10 09:50:00+05:30,21527.106787878787,21521.72064889942,21596.78962511534,21651.56934905205,red,red
158,1704860700,21549.7,21549.8,21513.05,21540.2,0,2024-01-10 09:55:00+05:30,21531.644865800867,21523.48855041488,21592.06978729488,21648.903055257862,red,red
159,1704861000,21539.3,21539.35,21513.55,21519.4,0,2024-01-10 10:00:00+05:30,21532.58713852814,21519.841427501193,21587.59135186018,21646.166240281316,red,red
160,1704861300,21517.7,21530.35,21512.0,21524.2,0,2024-01-10 10:05:00+05:30,21531.998082251084,21518.386069734694,21583.329067327326,21643.366879916284,red,red
161,1704861600,21523.0,21542.5,21522.6,21541.8,0,2024-01-10 10:10:00+05:30,21532.84971861472,21522.03833458123,21579.31705999192,21640.52036955456,lime,lime
162,1704861900,21542.7,21573.9,21540.45,21568.3,0,2024-01-10 10:15:00+05:30,21537.89979220779,21532.154344414535,21575.649724698087,21637.651322689602,lime,lime
163,1704862200,21567.7,21568.75,21534.85,21535.8,0,2024-01-10 10:20:00+05:30,21541.453567099565,21532.20368907005,21572.28670679431,21634.76793484314,red,red
164,1704862500,21534.8,21536.1,21523.4,21534.7,0,2024-01-10 10:25:00+05:30,21542.987329004325,21532.11510787459,21569.19234800334,21631.877657701258,red,red
165,1704862800,21535.3,21552.4,21534.05,21551.5,0,2024-01-10 10:30:00+05:30,21544.151445887448,21536.543506582737,21566.385767939562,21628.99433516434,lime,lime
